muestra,t,M 5A,DUT 30A,
21,10472,3.241,92.524,
22,10996,3.848,89.825,
23,11519,3.375,87.688,
24,12041,3.825,85.839,
25,12565,5.080,86.214,
26,13088,2.957,86.769,
muestra,t,M 5A,DUT 30A,
2,526,3.129,84.298,
3,1049,1.889,88.746,
4,1571,1.035,120.944,
5,2095,0.597,122.789,
6,2620,3.071,123.596,
7,3143,0.422,123.803,
8,3666,3.017,122.841,
9,4189,3.504,122.293,
10,4714,1.739,124.782,
11,5236,0.845,124.735,
12,5760,2.566,121.873,
13,6284,0.422,122.972,
14,6807,0.000,125.198,
15,7329,1.581,131.040,
16,7853,3.797,196.044,
17,8377,3.401,194.007,
18,8900,0.597,194.403,
19,9424,1.521,201.905,
20,9947,1.581,184.571,
21,10471,1.266,94.477,
22,10996,1.336,88.818,
23,11519,1.336,89.646,
24,12042,0.422,88.125,
25,12565,2.672,86.287,
26,13088,0.597,85.839,
muestra,t,M 5A,DUT 30A,
2,526,1.266,86.474,
3,1049,0.000,89.960,
4,1573,1.523,121.975,
5,2095,0.845,120.278,
6,2618,0.422,123.935,
7,3141,0.844,120.098,
8,3665,1.267,123.571,
9,4188,0.943,128.302,
10,4711,5.174,122.238,
11,5234,0.000,128.177,
12,5757,3.432,128.165,
13,6281,4.240,125.958,
14,6804,4.030,127.889,
15,7328,0.000,144.486,
16,7851,5.699,202.812,
17,8375,0.422,192.543,
18,8899,0.422,210.512,
19,9423,0.597,205.690,
20,9945,0.422,162.113,
21,10469,2.861,93.762,
22,10993,0.422,89.317,
23,11517,0.597,87.980,
24,12040,3.825,85.652,
25,12563,1.399,86.400,
26,13088,0.422,88.380,
muestra,t,M 5A,DUT 30A,
2,526,0.597,87.175,
3,1049,0.597,91.771,
4,1571,1.035,127.108,
5,2095,1.399,124.551,
6,2619,0.943,126.744,
7,3142,0.597,130.351,
8,3666,0.597,123.880,
9,4189,0.945,125.403,
10,4713,0.000,125.627,
11,5236,1.035,127.738,
12,5761,4.245,124.168,
13,6284,3.375,124.808,
14,6809,1.739,125.064,
15,7332,1.267,150.054,
16,7854,4.471,196.963,
17,8378,3.427,201.571,
18,8902,0.597,206.796,
19,9424,1.267,199.507,
20,9947,1.742,161.537,
21,10470,0.000,92.316,
22,10994,3.848,87.433,
23,11517,0.422,90.422,
24,12040,0.845,87.946,
25,12564,0.000,88.633,
26,13087,3.985,86.138,
muestra,t,M 5A,DUT 30A,
2,526,3.848,85.201,
3,1048,0.597,93.057,
4,1572,3.479,121.662,
5,2095,1.690,128.465,
6,2620,1.195,124.787,
7,3144,0.597,126.996,
8,3668,1.033,128.351,
9,4191,3.509,126.398,
10,4714,0.422,127.133,
11,5236,0.422,128.240,
12,5760,0.597,125.371,
13,6283,0.845,128.089,
14,6807,3.375,125.295,
15,7330,0.845,139.907,
16,7854,1.334,201.014,
17,8377,1.523,206.501,
18,8900,3.406,200.471,
19,9424,0.597,205.756,
20,9948,0.000,156.309,
21,10471,0.945,94.393,
22,10994,2.151,90.209,
23,11518,0.000,88.452,
24,12041,3.379,88.347,
25,12564,3.940,83.371,
26,13087,0.422,87.212,
muestra,t,M 5A,DUT 30A,
2,526,5.508,87.249,
3,1049,1.739,93.351,
4,1572,3.379,122.763,
5,2095,1.266,126.364,
6,2619,0.000,127.889,
7,3142,0.844,126.769,
8,3665,0.422,125.352,
9,4188,3.820,126.364,
10,4712,2.195,124.581,
11,5234,1.267,124.684,
12,5757,5.377,126.627,
13,6280,3.605,125.141,
14,6804,1.267,127.486,
15,7327,0.422,127.411,
16,7849,0.845,192.310,
17,8374,3.605,196.989,
18,8896,0.845,202.305,
19,9419,0.000,205.425,
20,9941,2.570,183.909,
21,10466,2.496,96.357,
22,10992,3.401,90.493,
23,11515,2.195,87.543,
24,12038,0.597,87.651,
25,12562,3.189,86.769,
26,13085,0.422,85.092,
muestra,t,M 5A,DUT 30A,
2,528,0.421,84.607,
3,1051,4.224,92.364,
4,1573,3.895,124.710,
5,2095,0.000,127.385,
6,2620,1.334,126.389,
7,3143,2.957,126.144,
8,3665,3.509,124.710,
9,4189,0.943,123.284,
10,4712,1.581,124.426,
11,5235,0.945,122.580,
12,5757,1.035,123.779,
13,6281,2.566,124.808,
14,6804,0.597,123.233,
15,7327,3.017,124.426,
16,7849,3.379,192.927,
17,8376,3.071,192.947,
18,8899,0.945,188.565,
19,9422,2.987,189.296,
20,9944,1.523,196.670,
21,10469,0.943,117.646,
22,10992,3.848,89.968,
23,11515,0.844,89.960,
24,12039,0.422,85.730,
25,12562,3.406,87.286,
26,13085,0.000,88.128,
muestra,t,M 5A,DUT 30A,
2,526,0.000,86.400,
3,1050,0.732,90.395,
4,1572,3.406,124.916,
5,2094,1.035,125.095,
6,2618,3.867,124.680,
7,3142,3.245,123.415,
8,3664,2.427,123.883,
9,4187,0.000,122.789,
10,4710,1.688,125.346,
11,5235,3.504,124.087,
12,5761,0.844,124.680,
13,6285,0.000,122.109,
14,6809,1.266,128.924,
15,7331,0.000,125.018,
16,7855,1.033,202.681,
17,8379,0.597,201.873,
18,8902,2.705,199.941,
19,9426,4.002,203.438,
20,9949,2.987,191.975,
21,10473,0.844,90.564,
22,10996,3.483,92.190,
23,11519,3.427,89.960,
24,12043,3.629,87.432,
25,12566,0.000,86.250,
26,13088,1.523,83.140,
muestra,t,M 5A,DUT 30A,
2,526,0.422,84.601,
3,1049,1.035,90.608,
4,1572,0.597,123.831,
5,2095,0.422,122.240,
6,2622,1.116,123.699,
7,3145,2.638,123.311,
8,3668,1.521,126.313,
9,4192,2.311,127.425,
10,4715,0.422,118.827,
11,5238,1.118,125.914,
12,5760,0.732,127.436,
13,6284,1.033,124.808,
14,6807,1.936,126.347,
15,7330,0.845,125.249,
16,7852,2.957,168.715,
17,8376,0.422,186.118,
18,8900,4.890,203.319,
19,9422,0.845,202.955,
20,9945,6.280,188.599,
21,10469,1.399,134.089,
22,10992,0.945,92.364,
23,11514,0.945,91.244,
24,12038,0.844,85.991,
25,12563,0.422,87.248,
26,13085,0.845,88.019,
27,13611,3.797,85.167,
muestra,t,M 5A,DUT 30A,
2,526,3.375,85.280,
3,1051,0.422,89.960,
4,1573,3.406,121.262,
5,2096,0.945,123.623,
6,2618,0.732,122.186,
7,3143,3.530,124.705,
8,3666,3.825,123.883,
9,4188,4.139,121.342,
10,4712,2.668,123.206,
11,5235,0.945,124.761,
12,5758,4.926,123.857,
13,6286,2.151,124.962,
14,6811,0.422,125.474,
15,7333,3.353,128.390,
16,7857,0.844,191.095,
17,8381,1.790,205.974,
18,8905,1.035,203.965,
19,9427,0.732,208.636,
20,9951,3.820,203.910,
21,10477,1.193,93.248,
22,11001,3.406,90.821,
23,11524,4.641,90.103,
24,12047,3.634,86.138,
25,12571,3.530,89.568,
26,13094,1.463,84.898,
27,13617,2.531,85.543,
muestra,t,M 5A,DUT 30A,
2,526,2.109,91.128,
3,1049,0.945,91.701,
4,1571,1.336,128.089,
5,2095,0.731,133.994,
6,2620,1.688,130.284,
7,3142,3.634,132.962,
8,3665,1.792,131.602,
9,4189,0.422,127.299,
10,4712,1.336,132.381,
11,5235,0.845,144.248,
12,5757,0.945,196.914,
13,6281,2.272,144.774,
14,6804,3.406,87.873,
15,7329,1.267,87.249,
16,7853,0.597,88.053,
17,8376,1.266,86.733,
muestra,t,M 5A,DUT 30A,
2,524,3.917,86.175,
3,1049,0.596,88.484,
4,1573,0.845,127.158,
5,2095,0.422,131.748,
6,2617,2.987,97.044,
7,3141,1.688,90.599,
8,3664,2.275,113.292,
9,4187,0.732,131.773,
10,4710,0.597,132.478,
11,5234,0.597,131.629,
12,5758,0.000,132.212,
13,6281,1.523,148.245,
14,6804,1.266,200.488,
15,7328,0.597,139.424,
16,7850,1.581,86.510,
17,8374,2.496,84.412,
18,8898,0.422,87.028,
19,9424,3.379,85.727,
muestra,t,M 5A,DUT 30A,
2,527,0.943,86.177,
3,1050,0.945,88.165,
4,1572,2.672,126.855,
5,2095,0.597,134.618,
6,2619,0.000,126.719,
7,3142,2.705,132.114,
8,3664,2.957,125.326,
9,4188,0.422,132.164,
10,4711,3.075,127.788,
11,5234,0.422,142.995,
12,5756,1.936,193.840,
13,6280,0.943,157.737,
14,6804,0.732,86.806,
15,7327,4.025,87.798,
16,7850,1.981,87.176,
17,8373,0.422,87.834,
muestra,t,M 5A,DUT 30A,
2,525,2.957,87.653,
3,1047,1.336,89.071,
4,1573,0.000,128.351,
5,2098,1.266,129.692,
6,2621,0.845,128.565,
7,3143,0.845,127.889,
8,3668,0.943,126.110,
9,4190,2.834,125.965,
10,4714,3.013,125.474,
11,5238,0.000,129.643,
12,5761,2.987,195.063,
13,6284,0.845,169.854,
14,6806,0.000,89.179,
15,7330,0.943,85.692,
16,7853,3.825,87.543,
17,8377,0.000,87.688,
muestra,t,M 5A,DUT 30A,
2,524,0.945,84.062,
3,1049,3.371,91.503,
4,1573,1.792,123.753,
5,2095,1.401,128.790,
6,2618,3.217,125.121,
7,3141,0.422,129.272,
8,3667,0.945,129.536,
9,4190,3.406,128.665,
10,4712,3.731,128.914,
11,5237,1.033,137.720,
12,5760,0.422,195.687,
13,6282,3.483,149.367,
14,6805,3.406,91.946,
15,7329,3.844,87.175,
16,7852,0.597,84.367,
17,8375,2.424,89.209,
muestra,t,M 5A,DUT 30A,
2,526,1.266,84.904,
3,1050,2.154,91.103,
4,1572,0.000,129.362,
5,2094,1.936,130.548,
6,2618,0.844,126.996,
7,3141,0.422,131.064,
8,3664,2.026,128.215,
9,4186,0.000,132.623,
10,4710,1.790,128.899,
11,5234,4.550,149.968,
12,5754,4.589,196.326,
13,6277,0.945,148.050,
14,6800,0.597,86.770,
15,7323,5.087,85.614,
16,7847,0.943,87.505,
17,8369,1.267,88.311,
muestra,t,M 5A,DUT 30A,
2,526,0.844,85.879,
3,1050,0.000,88.597,
4,1574,0.844,125.601,
5,2096,0.422,128.565,
6,2619,3.534,129.882,
7,3142,0.000,133.370,
8,3666,0.845,130.351,
9,4188,4.203,127.914,
10,4711,2.672,128.815,
11,5235,1.334,145.898,
12,5758,0.000,193.940,
13,6280,3.534,130.868,
14,6804,1.116,87.907,
15,7328,0.597,88.343,
16,7850,3.609,86.991,
17,8396,0.422,84.253,
muestra,t,M 5A,DUT 30A,
2,528,4.096,85.876,
3,1053,1.118,90.785,
4,1579,0.597,126.895,
5,2105,1.033,127.299,
6,2629,0.422,127.234,
7,3156,3.530,129.024,
8,3681,1.118,128.064,
9,4205,1.035,127.411,
10,4731,3.375,130.407,
11,5256,0.845,138.383,
12,5781,3.707,189.483,
13,6306,1.399,159.615,
14,6833,2.531,92.731,
15,7358,1.267,88.818,
16,7883,0.000,85.543,
17,8408,0.000,87.983,
muestra,t,M 5A,DUT 30A,
2,530,3.401,84.941,
3,1056,1.334,90.528,
4,1583,0.732,107.203,
5,2109,1.334,119.698,
6,2636,2.349,125.499,
7,3160,1.195,129.486,
8,3686,0.844,127.651,
9,4212,4.176,127.274,
10,4737,1.336,127.436,
11,5263,1.033,126.491,
12,5789,2.311,193.742,
13,6315,0.000,174.958,
14,6840,0.943,91.128,
15,7366,0.000,91.128,
16,7891,0.422,85.539,
17,8416,4.308,86.212,
18,8941,1.461,86.251,
muestra,t,M 5A,DUT 30A,
2,529,1.195,84.367,
3,1054,0.422,91.409,
4,1581,0.000,124.987,
5,2105,3.406,129.981,
6,2630,3.017,131.064,
7,3159,0.943,132.937,
8,3684,1.267,130.376,
9,4208,2.570,129.138,
10,4735,0.422,132.115,
11,5259,0.845,135.119,
12,5784,1.195,193.425,
13,6311,3.797,147.427,
14,6835,2.154,85.012,
15,7361,1.739,85.092,
16,7887,3.702,86.991,
17,8412,1.035,82.946,
muestra,t,M 5A,DUT 30A,
2,530,1.334,84.336,
3,1055,2.834,92.085,
4,1581,0.422,128.725,
5,2105,3.075,127.738,
6,2632,0.422,128.974,
7,3157,0.845,128.240,
8,3681,0.945,129.312,
9,4208,0.422,127.072,
10,4732,0.597,124.529,
11,5259,0.422,141.935,
12,5785,3.580,192.731,
13,6312,0.943,148.164,
14,6836,0.945,86.212,
15,7362,3.401,90.280,
16,7887,2.570,87.139,
17,8413,0.422,84.904,
muestra,t,M 5A,DUT 30A,
2,528,3.509,86.843,
3,1054,3.071,89.317,
4,1579,0.597,128.115,
5,2104,0.845,128.190,
6,2630,4.240,130.799,
7,3155,0.945,131.309,
8,3680,3.872,129.561,
9,4205,0.731,131.288,
10,4731,2.738,128.590,
11,5256,4.816,135.735,
12,5780,3.104,189.805,
13,6307,0.000,159.313,
14,6831,2.275,91.701,
15,7358,3.509,86.361,
16,7885,1.266,85.505,
17,8409,0.422,86.806,
muestra,t,M 5A,DUT 30A,
2,530,4.198,84.677,
3,1057,0.422,94.883,
4,1581,0.000,127.461,
5,2107,0.844,132.067,
6,2633,0.597,134.069,
7,3157,4.410,128.790,
8,3683,1.033,129.346,
9,4208,1.035,132.720,
10,4734,0.000,129.717,
11,5259,0.422,141.346,
12,5784,0.732,198.134,
13,6309,3.379,145.246,
14,6833,3.658,91.174,
15,7359,0.844,90.776,
16,7884,0.597,84.785,
17,8409,0.422,84.329,
18,8934,0.422,82.647,
muestra,t,M 5A,DUT 30A,
2,532,4.510,86.361,
3,1056,0.732,91.701,
4,1581,2.154,129.238,
5,2107,0.844,129.296,
6,2632,0.597,129.783,
7,3158,1.033,130.407,
8,3684,1.334,128.576,
9,4209,3.848,132.162,
10,4734,2.604,131.138,
11,5260,1.266,135.207,
12,5786,0.422,202.321,
13,6310,0.945,168.429,
14,6836,3.844,86.474,
15,7361,0.597,83.679,
16,7886,3.848,86.917,
17,8410,2.987,85.614,
muestra,t,M 5A,DUT 30A,
2,529,2.275,84.861,
3,1054,0.597,91.549,
4,1580,0.422,128.640,
5,2104,4.030,132.551,
6,2632,3.504,128.800,
7,3158,0.732,131.456,
8,3682,0.845,132.041,
9,4208,0.844,129.296,
10,4733,4.203,131.382,
11,5259,0.943,131.873,
12,5784,1.035,202.670,
13,6309,0.422,161.875,
14,6834,2.069,87.727,
15,7358,3.406,87.836,
16,7884,2.349,86.326,
17,8409,3.406,85.389,
muestra,t,M 5A,DUT 30A,
2,530,0.597,86.991,
3,1056,0.597,92.385,
4,1581,1.742,127.486,
5,2105,3.379,127.763,
6,2631,2.983,127.122,
7,3158,0.422,127.223,
8,3683,0.422,128.790,
9,4208,2.232,128.949,
10,4736,0.845,128.014,
11,5261,1.401,127.259,
12,5786,1.933,199.687,
13,6313,0.597,168.348,
14,6838,3.848,88.165,
15,7363,3.504,83.611,
16,7889,1.195,84.936,
17,8414,2.531,86.954,
muestra,t,M 5A,DUT 30A,
2,531,3.844,84.715,
3,1055,0.422,94.427,
4,1582,0.422,128.401,
5,2106,0.422,127.688,
6,2631,1.742,128.490,
7,3156,0.844,128.601,
8,3682,2.570,127.914,
9,4206,3.658,128.190,
10,4732,1.116,129.593,
11,5257,0.422,137.802,
12,5782,1.742,193.226,
13,6307,0.422,156.350,
14,6835,3.406,89.539,
15,7360,0.000,87.873,
16,7885,0.844,84.752,
17,8410,1.792,83.217,
muestra,t,M 5A,DUT 30A,
2,531,1.193,85.842,
3,1055,5.242,90.715,
4,1582,0.000,123.906,
5,2106,0.422,129.362,
6,2631,0.000,130.129,
7,3156,0.943,130.971,
8,3682,2.865,130.327,
9,4206,0.000,133.155,
10,4732,1.521,129.445,
11,5257,0.000,134.762,
12,5781,1.889,194.551,
13,6307,1.266,162.420,
14,6833,1.690,91.279,
15,7358,1.688,91.409,
16,7882,1.636,86.324,
17,8409,0.422,84.525,
18,8936,3.609,88.019,
muestra,t,M 5A,DUT 30A,
2,531,1.266,86.511,
3,1055,0.597,92.746,
4,1580,3.825,128.889,
5,2106,3.100,129.247,
6,2631,3.848,128.690,
7,3155,0.422,128.864,
8,3681,0.000,132.358,
9,4207,3.432,129.709,
10,4731,0.000,132.065,
11,5257,0.844,130.333,
12,5782,3.634,193.492,
13,6308,0.943,169.751,
14,6834,1.033,89.317,
15,7359,1.195,85.989,
16,7884,3.353,87.800,
17,8409,3.013,84.979,
18,8935,4.030,83.871,
muestra,t,M 5A,DUT 30A,
2,530,0.945,84.405,
3,1058,0.422,89.066,
4,1584,1.690,128.840,
5,2108,2.352,127.082,
6,2633,0.597,127.562,
7,3159,0.844,131.751,
8,3685,0.422,129.371,
9,4209,0.422,129.312,
10,4735,4.884,129.988,
11,5262,0.000,131.191,
12,5787,1.792,183.716,
13,6312,3.375,182.660,
14,6839,0.943,89.460,
15,7364,3.963,86.621,
16,7889,0.844,83.917,
17,8416,2.861,87.432,
18,8940,1.792,84.898,
muestra,t,M 5A,DUT 30A,
2,531,4.563,87.101,
3,1055,0.845,91.561,
4,1580,1.336,127.511,
5,2105,3.797,129.445,
6,2632,3.935,128.875,
7,3159,2.112,129.734,
8,3685,0.597,128.974,
9,4210,1.195,129.163,
10,4735,3.634,132.696,
11,5261,0.000,130.530,
12,5786,2.112,130.843,
13,6316,1.334,131.410,
14,6842,1.334,129.445,
15,7368,1.936,192.243,
16,7892,0.000,193.724,
17,8418,1.033,192.065,
18,8943,3.683,131.260,
19,9469,1.033,89.960,
20,9995,1.033,88.198,
21,10520,0.000,89.071,
22,11045,0.597,89.754,
23,11570,2.983,90.067,
muestra,t,M 5A,DUT 30A,
2,530,0.422,87.138,
3,1054,0.732,89.143,
4,1581,0.844,127.751,
5,2109,1.790,127.097,
6,2634,1.523,120.545,
7,3160,0.422,97.776,
8,3685,0.845,93.847,
9,4209,3.075,94.767,
10,4736,3.867,127.097,
11,5260,0.422,128.140,
12,5785,1.401,129.734,
13,6311,0.422,124.345,
14,6836,1.267,126.525,
15,7360,3.825,123.285,
16,7886,6.157,189.816,
17,8413,0.844,209.582,
18,8938,0.422,208.359,
19,9463,0.597,127.349,
20,9990,0.844,91.163,
21,10514,0.422,89.503,
22,11040,1.334,88.669,
23,11566,2.154,84.481,
24,12091,3.726,85.243,
muestra,t,M 5A,DUT 30A,
2,530,1.579,84.412,
3,1056,4.349,90.573,
4,1580,1.035,127.436,
5,2106,1.334,127.575,
6,2631,0.422,126.500,
7,3157,0.731,128.924,
8,3682,0.422,125.172,
9,4207,1.523,128.290,
10,4731,3.017,130.080,
11,5257,4.717,126.820,
12,5784,3.479,131.751,
13,6308,0.000,126.880,
14,6833,0.845,130.031,
15,7358,0.844,182.905,
16,7884,0.597,205.331,
17,8409,0.732,196.784,
18,8935,4.364,144.619,
19,9461,1.033,87.578,
20,9986,0.732,90.821,
21,10511,1.193,87.907,
22,11039,2.154,87.286,
23,11563,2.275,86.026,
muestra,t,M 5A,DUT 30A,
2,530,0.422,83.641,
3,1054,0.422,91.315,
4,1580,3.013,134.733,
5,2107,1.887,128.775,
6,2631,0.945,127.133,
7,3157,1.334,126.313,
8,3683,0.597,131.459,
9,4208,0.597,130.253,
10,4733,1.581,130.203,
11,5259,2.635,133.082,
12,5784,3.432,129.511,
13,6310,3.820,128.999,
14,6836,1.334,129.272,
15,7362,0.597,173.076,
16,7886,3.432,190.227,
17,8412,1.193,194.633,
18,8938,4.030,163.278,
19,9463,3.797,93.145,
20,9991,0.844,95.186,
21,10516,0.422,86.510,
22,11041,1.581,84.595,
23,11566,0.844,85.280,
muestra,t,M 5A,DUT 30A,
2,528,0.945,84.974,
3,1055,3.844,90.138,
4,1579,2.987,122.370,
5,2103,0.945,127.184,
6,2629,3.820,126.136,
7,3155,0.597,127.662,
8,3680,3.453,129.321,
9,4206,0.000,128.551,
10,4731,3.917,128.315,
11,5256,0.597,131.992,
12,5781,1.266,130.235,
13,6307,0.422,129.362,
14,6832,0.422,129.123,
15,7357,3.825,175.490,
16,7883,3.100,198.883,
17,8409,0.943,197.412,
18,8937,2.109,170.429,
19,9462,3.406,94.223,
20,9988,3.071,87.248,
21,10512,3.483,86.621,
22,11039,1.790,87.101,
23,11563,1.792,85.539,
muestra,t,M 5A,DUT 30A,
2,529,2.195,86.324,
3,1054,1.521,89.604,
4,1581,1.521,119.965,
5,2105,3.379,129.089,
6,2632,3.371,133.441,
7,3158,1.401,127.108,
8,3682,2.026,127.713,
9,4208,1.033,129.865,
10,4733,4.853,129.263,
11,5259,4.025,130.185,
12,5783,2.957,131.627,
13,6310,2.668,128.576,
14,6835,3.778,128.315,
15,7359,3.406,162.311,
16,7888,0.844,199.414,
17,8413,2.802,197.224,
18,8938,0.945,174.885,
19,9463,0.844,93.522,
20,9990,1.116,90.741,
21,10514,3.458,87.323,
22,11040,4.025,88.198,
23,11566,0.422,88.274,
muestra,t,M 5A,DUT 30A,
2,529,3.432,84.443,
3,1055,3.605,91.863,
4,1581,3.401,119.403,
5,2106,0.422,128.690,
6,2631,1.336,128.715,
7,3155,0.422,129.362,
8,3682,0.422,127.676,
9,4206,1.742,131.578,
10,4731,0.422,130.401,
11,5258,1.266,131.702,
12,5782,1.118,127.411,
13,6308,1.033,129.988,
14,6837,0.731,132.164,
15,7362,3.802,152.580,
16,7887,0.945,201.207,
17,8413,3.427,199.783,
18,8938,0.845,184.693,
19,9463,2.957,91.876,
20,9988,0.597,87.615,
21,10514,3.432,89.251,
22,11038,1.035,87.836,
23,11564,0.422,89.102,
muestra,t,M 5A,DUT 30A,
2,530,3.406,84.024,
3,1055,0.422,91.279,
4,1580,0.731,124.731,
5,2107,3.530,123.362,
6,2631,3.379,123.961,
7,3157,3.555,124.061,
8,3683,0.945,126.981,
9,4207,0.945,123.467,
10,4733,2.983,124.577,
11,5260,0.422,125.474,
12,5788,1.979,124.859,
13,6314,3.605,125.269,
14,6839,1.889,126.297,
15,7364,0.422,137.031,
16,7889,0.422,194.436,
17,8415,1.399,199.719,
18,8940,0.422,204.123,
19,9465,3.133,104.595,
20,9990,0.000,92.454,
21,10517,1.334,88.234,
22,11041,1.742,87.800,
23,11567,0.844,83.381,
24,12093,5.104,86.250,
muestra,t,M 5A,DUT 30A,
2,531,1.521,85.393,
3,1056,1.523,90.715,
4,1581,0.943,120.657,
5,2107,1.267,124.219,
6,2631,3.634,123.727,
7,3157,3.820,125.550,
8,3682,1.035,123.675,
9,4209,1.841,127.511,
10,4735,1.033,123.544,
11,5261,0.422,132.429,
12,5785,0.597,128.340,
13,6311,0.422,123.076,
14,6836,1.267,128.440,
15,7361,3.379,131.333,
16,7886,1.792,189.855,
17,8411,0.422,200.182,
18,8937,2.566,200.535,
19,9462,3.895,142.973,
20,9988,0.597,90.741,
21,10514,0.844,90.280,
22,11039,3.848,86.510,
23,11564,3.100,84.525,
24,12090,1.336,84.785,
muestra,t,M 5A,DUT 30A,
2,528,0.845,85.351,
3,1054,2.349,91.444,
4,1580,0.422,124.374,
5,2104,0.000,129.213,
6,2632,3.013,123.414,
7,3158,3.825,125.812,
8,3682,2.112,127.738,
9,4207,0.845,127.813,
10,4733,1.266,128.924,
11,5259,0.000,126.719,
12,5784,1.523,128.240,
13,6309,3.100,129.988,
14,6836,1.334,133.250,
15,7362,0.943,130.358,
16,7889,1.521,196.713,
17,8414,4.245,200.663,
18,8938,5.191,190.801,
19,9464,2.151,141.777,
20,9990,3.802,91.561,
21,10514,0.597,88.201,
22,11040,3.185,87.943,
23,11565,3.895,84.367,
24,12090,1.336,86.621,
muestra,t,M 5A,DUT 30A,
2,533,2.531,84.753,
3,1058,0.845,88.565,
4,1584,0.422,123.673,
5,2110,1.334,124.319,
6,2635,0.422,123.337,
7,3161,0.000,126.263,
8,3687,3.820,126.769,
9,4212,3.917,127.335,
10,4738,5.370,131.239,
11,5263,0.000,126.601,
12,5788,4.245,132.696,
13,6313,0.422,127.662,
14,6837,2.638,128.440,
15,7363,2.192,123.076,
16,7889,0.945,175.581,
17,8413,0.945,199.443,
18,8939,3.401,195.782,
19,9465,3.379,153.650,
20,9990,0.422,93.110,
21,10516,0.731,87.395,
22,11041,3.802,84.253,
23,11568,2.235,85.951,
24,12094,1.193,85.916,
muestra,t,M 5A,DUT 30A,
2,529,1.401,86.473,
3,1055,0.844,94.035,
4,1579,0.597,122.396,
5,2105,3.071,124.808,
6,2632,1.521,125.090,
7,3156,0.000,126.424,
8,3680,4.816,123.415,
9,4206,0.000,128.775,
10,4731,1.523,125.429,
11,5257,2.424,124.525,
12,5783,2.983,125.576,
13,6308,0.000,126.627,
14,6833,3.406,123.935,
15,7358,2.566,126.110,
16,7884,3.432,175.929,
17,8408,4.510,191.305,
18,8934,0.844,199.253,
19,9461,1.266,177.464,
20,9989,2.566,93.351,
21,10513,1.118,88.492,
22,11040,3.479,89.460,
23,11564,4.030,84.367,
24,12089,1.523,85.614,
muestra,t,M 5A,DUT 30A,
2,530,1.193,82.492,
3,1056,0.422,94.409,
4,1582,0.844,121.794,
5,2107,0.945,125.965,
6,2632,0.597,124.448,
7,3158,0.422,124.607,
8,3682,3.609,124.400,
9,4206,3.075,125.326,
10,4733,1.266,124.165,
11,5257,3.917,125.249,
12,5782,0.945,125.863,
13,6307,2.601,128.127,
14,6834,3.401,127.826,
15,7359,3.104,125.224,
16,7884,3.427,167.432,
17,8412,1.336,185.301,
18,8938,0.000,199.414,
19,9464,3.401,186.976,
20,9989,0.422,92.780,
21,10514,3.940,90.573,
22,11039,3.479,87.651,
23,11566,1.933,86.140,
24,12090,0.597,82.869,
muestra,t,M 5A,DUT 30A,
2,529,1.401,85.951,
3,1054,3.375,90.882,
4,1579,0.845,112.980,
5,2105,0.597,127.274,
6,2630,0.732,125.326,
7,3156,0.844,130.873,
8,3682,1.266,123.725,
9,4207,0.597,125.172,
10,4733,0.597,124.885,
11,5259,3.129,121.293,
12,5784,3.825,126.144,
13,6309,1.399,123.932,
14,6837,1.267,126.728,
15,7363,3.071,124.397,
16,7890,2.983,152.868,
17,8415,2.535,193.857,
18,8939,3.379,196.686,
19,9465,0.000,177.483,
20,9990,4.835,92.503,
21,10516,1.688,90.705,
22,11042,5.386,86.214,
23,11567,3.848,86.806,
24,12092,3.963,84.519,
muestra,t,M 5A,DUT 30A,
2,530,0.422,84.367,
3,1054,0.845,92.746,
4,1579,0.422,123.727,
5,2104,0.597,126.398,
6,2629,0.422,124.864,
7,3153,0.732,126.093,
8,3679,1.579,124.525,
9,4204,0.000,127.587,
10,4730,0.943,124.628,
11,5259,3.322,124.859,
12,5784,3.825,125.198,
13,6308,1.267,123.675,
14,6834,3.912,125.601,
15,7360,0.422,122.998,
16,7885,4.485,160.575,
17,8411,0.731,189.462,
18,8937,3.483,200.086,
19,9461,3.458,182.805,
20,9987,0.422,92.766,
21,10512,0.422,89.861,
22,11037,3.017,87.727,
23,11562,0.422,85.430,
24,12089,0.000,84.715,
muestra,t,M 5A,DUT 30A,
2,531,0.597,83.265,
3,1055,1.336,87.946,
4,1581,3.867,106.947,
5,2106,2.154,127.788,
6,2632,3.100,125.295,
7,3158,1.193,123.362,
8,3686,3.104,128.215,
9,4210,0.945,126.728,
10,4737,0.421,128.537,
11,5264,0.422,122.345,
12,5788,0.422,126.195,
13,6314,0.943,125.856,
14,6841,2.311,128.800,
15,7366,0.845,130.573,
16,7890,2.352,150.545,
17,8417,0.000,199.478,
18,8942,3.104,196.441,
19,9466,3.326,192.677,
20,9994,0.421,90.519,
21,10518,0.000,90.573,
22,11044,1.033,87.980,
23,11570,1.334,88.416,
24,12095,0.422,86.101,
muestra,t,M 5A,DUT 30A,
2,530,3.071,85.655,
3,1056,3.678,90.493,
4,1581,0.000,123.779,
5,2109,0.844,124.551,
6,2635,3.530,123.518,
7,3161,4.245,124.504,
8,3685,4.007,122.920,
9,4216,0.597,122.240,
10,4742,0.844,125.627,
11,5267,5.989,122.580,
12,5792,1.033,125.397,
13,6318,3.802,127.461,
14,6842,3.406,127.562,
15,7368,3.013,125.652,
16,7894,1.267,171.472,
17,8418,0.597,195.342,
18,8944,0.000,194.716,
